"","stand.time","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11","L12","L13","L14","L15","L16","L17","L18","L19","L20","L21","L22","L23","L24","L25","L26","L27","L28","L29","L30","L31","L32","L33","L34","L35","L36","L37","L38","L39","L40","L41","L42","L43","L44","L45","L46","L47","L48","L49","L50"
"1",1,43.1720626,44.4736842,55.1620604,46.9189163,48.5110024,44.9640891,42.9291611,37.307965,47.2529933,47.2832907,58.8764315,39.532779,42.937399,47.5663252,58.7973132,43.6873432,43.1522714,40.7037315,39.433383,52.3209524,45.593684,48.1574948,42.00246,42.9720962,47.4987984,31.6844115,38.3576981,42.3128208,40.06661,38.8086555,39.494453,43.5050778,39.1401999,34.618093,35.5102662,50.9255551,41.1398509,47.9062745,39.9291804,36.0303681,40.9845228,43.3913999,32.2968651,43.4106274,41.2037037,35.3178338,46.4285715,61.0270852,39.5425568,55.9573622
"2",1.25892541179417,43.1720626,44.4736842,55.1620604,46.9189163,48.5110024,44.9640891,42.9291611,37.307965,47.2529933,47.2832907,58.8764315,39.532779,42.937399,47.5663252,58.7973132,43.6873432,43.1522714,40.7037315,39.433383,52.3209524,45.593684,48.1574948,42.00246,42.9720962,47.4987984,31.6844115,38.3576981,42.3128208,40.06661,38.8086555,39.494453,43.5050778,39.1401999,34.618093,35.5102662,50.9255551,41.1398509,47.9062745,39.9291804,36.0303681,40.9845228,43.3913999,32.2968651,43.4106274,41.2037037,35.3178338,46.4285715,61.0270852,39.5425568,55.9573622
"3",1.58489319246111,43.1720626,44.4736842,55.1620604,46.9189163,48.5110024,44.9640891,42.9291611,37.307965,47.2529933,47.2832907,58.8764315,39.532779,42.937399,47.5663252,58.7973132,43.6873432,43.1522714,40.7037315,39.433383,52.3209524,45.593684,48.1574948,42.00246,42.9720962,47.4987984,31.6844115,38.3576981,42.3128208,40.06661,38.8086555,39.494453,43.5050778,39.1401999,34.618093,35.5102662,50.9255551,41.1398509,47.9062745,39.9291804,36.0303681,40.9845228,43.3913999,32.2968651,43.4106274,41.2037037,35.3178338,46.4285715,61.0270852,39.5425568,55.9573622
"4",1.99526231496888,43.1720626,44.4736842,55.1620604,46.9189163,48.5110024,44.9640891,42.9291611,37.307965,47.2529933,47.2832907,58.8764315,39.532779,42.937399,47.5663252,58.7973132,43.6873432,43.1522714,40.7037315,39.433383,52.3209524,45.593684,48.1574948,42.00246,42.9720962,47.4987984,31.6844115,38.3576981,42.3128208,40.06661,38.8086555,39.494453,43.5050778,39.1401999,34.618093,35.5102662,50.9255551,41.1398509,47.9062745,39.9291804,36.0303681,40.9845228,43.3913999,32.2968651,43.4106274,41.2037037,35.3178338,46.4285715,61.0270852,39.5425568,55.9573622
"5",2.51188643150958,43.1720626,44.4736842,55.1620604,46.9189163,48.5110024,44.9640891,42.9291611,37.307965,47.2529933,47.2832907,58.8764315,39.532779,42.937399,47.5663252,58.7973132,43.6873432,43.1522714,40.7037315,39.433383,52.3209524,45.593684,48.1574948,42.00246,42.9720962,47.4987984,31.6844115,38.3576981,42.3128208,40.06661,38.8086555,39.494453,43.5050778,39.1401999,34.618093,35.5102662,50.9255551,41.1398509,47.9062745,39.9291804,36.0303681,40.9845228,43.3913999,32.2968651,43.4106274,41.2037037,35.3178338,46.4285715,61.0270852,39.5425568,55.9573622
"6",3.16227766016838,43.1720626,44.4736842,55.1620604,46.9189163,48.5110024,44.9640891,42.9291611,37.307965,47.2529933,47.2832907,58.8764315,39.532779,42.937399,47.5663252,58.7973132,43.6873432,43.1522714,40.7037315,39.433383,52.3209524,45.593684,48.1574948,42.00246,42.9720962,47.4987984,31.6844115,38.3576981,42.3128208,40.06661,38.8086555,39.494453,43.5050778,39.1401999,34.618093,35.5102662,50.9255551,41.1398509,47.9062745,39.9291804,36.0303681,40.9845228,43.3913999,32.2968651,43.4106274,41.2037037,35.3178338,46.4285715,61.0270852,39.5425568,55.9573622
"7",3.98107170553497,43.1720626,44.4736842,55.1620604,46.9189163,48.5110024,44.9640891,42.9291611,37.307965,47.2529933,47.2832907,58.8764315,39.532779,42.937399,47.5663252,58.7973132,43.6873432,43.1522714,40.7037315,39.433383,52.3209524,45.593684,48.1574948,42.00246,42.9720962,47.4987984,31.6844115,38.3576981,42.3128208,40.06661,38.8086555,39.494453,43.5050778,39.1401999,34.618093,35.5102662,50.9255551,41.1398509,47.9062745,39.9291804,36.0303681,40.9845228,43.3913999,32.2968651,43.4106274,41.2037037,35.3178338,46.4285715,61.0270852,39.5425568,55.9573622
"8",5.01187233627272,43.1720626,44.4736842,55.1620604,46.9189163,48.5110024,44.9640891,42.9291611,37.307965,47.2529933,47.2832907,58.8764315,39.532779,42.937399,47.5663252,58.7973132,43.6873432,43.1522714,40.7037315,39.433383,52.3209524,45.593684,48.1574948,42.00246,42.9720962,47.4987984,31.6844115,38.3576981,42.3128208,40.06661,38.8086555,39.494453,43.5050778,39.1401999,34.618093,35.5102662,50.9255551,41.1398509,47.9062745,39.9291804,36.0303681,40.9845228,43.3913999,32.2968651,43.4106274,41.2037037,35.3178338,46.4285715,61.0270852,39.5425568,55.9573622
"9",6.30957344480193,43.1720626,44.4736842,55.1620604,46.9189163,48.5110024,44.9640891,42.9291611,37.307965,47.2529933,47.2832907,58.8764315,39.532779,42.937399,47.5663252,58.7973132,43.6873432,43.1522714,40.7037315,39.433383,52.3209524,45.593684,48.1574948,42.00246,42.9720962,47.4987984,31.6844115,38.3576981,42.3128208,40.06661,38.8086555,39.494453,43.5050778,39.1401999,34.618093,35.5102662,50.9255551,41.1398509,47.9062745,39.9291804,36.0303681,40.9845228,43.3913999,32.2968651,43.4106274,41.2037037,35.3178338,46.4285715,61.0270852,2.4823587,55.9573622
"10",7.94328234724282,43.1720626,44.4736842,55.1620604,46.9189163,48.5110024,44.9640891,42.9291611,37.307965,47.2529933,47.2832907,58.8764315,39.532779,42.937399,47.5663252,58.7973132,43.6873432,43.1522714,40.7037315,39.433383,52.3209524,45.593684,48.1574948,42.00246,42.9720962,47.4987984,31.6844115,38.3576981,42.3128208,40.06661,38.8086555,39.494453,43.5050778,3.8808411,34.618093,35.5102662,50.9255551,41.1398509,47.9062745,39.9291804,36.0303681,40.9845228,43.3913999,32.2968651,43.4106274,41.2037037,35.3178338,46.4285715,61.0270852,2.4823587,55.9573622
